episodes,sum_wins,avg_actor_loss,avg_critic_loss,avg_actor_grad_norm,avg_critic_grad_norm,avg_reward
1,0,0.0,0.0,0.0,0.0,-58.5621499999996
2,0,0.10177041590213776,599.9998779296875,0.0011516622034832835,180.84518432617188,-56.46789999999964
3,0,1.7704854309558868,1232.3929595947266,0.003975792933488265,506.67883682250977,-55.61492499999972
4,0,5.895958662033081,770.1012344360352,3.596354719093142e-05,584.9345550537109,-56.454949999999556
5,0,13.050304412841797,701.344482421875,1.9325660494118324e-07,597.236213684082,-58.874699999999535
6,0,17.86184597015381,554.7142181396484,0.0,1291.8198547363281,-61.45282499999944
7,0,15.081295490264893,604.7486267089844,0.0,1273.5752868652344,-64.10829999999946
8,0,10.880038261413574,538.4325408935547,0.0,1035.9696502685547,-69.3676749999987
9,0,7.891884803771973,608.3112411499023,0.0,1425.414161682129,-71.97474999999835
10,0,11.71615719795227,744.8868255615234,0.0,2376.3788146972656,-74.95134999999817
